"8737","Audioset","Koffer mit Aktivboxen (18W) und Mischpult fuer mobile Audioinstallation","Aktivboxen Alesis (1355), Mischpult (0075), Netzteil, Stromkabel, 1x Jack-Kabel, Verbindungskabel Boxen, 2 Adapter Jack/Cinch, Chinch/ Stereo.Minijack.Kabel,","95","t","1128","42","\n","2007","\n"
"8644","M1 Active 320 USB","Aktive Boxen, 2x10Watt, analog und usb in, Teil von Audioset 1128","Stromkabel, USB-Kabel, Miniklinke","95","f","1355","53","A40710108900444","2008","180"
"9335","Pioneer  A-109","Stereo Amplifier, 2x40W/8Ohm, Vortragsraum","\n","118","f","1281","42","KDMP051194YY","2011","185"
"8968","USB-Maus","mit drei Tasten und Scroll","\n","95","t","0509","72","\n","2010","\n"
"8682","Sony Aktivboxen","2Stk. Sony Aktivboxen SRS-A205, 2X5Watt","\n","95","t","0901","53","\n","2005","60"
"9336","Timer/Ausloeser DCCS","Programmierbarer Timer/Ausloeser zu SLR (digitalen Spiegelreflex Kamera)","Adapter zu Nikon D80, Adapter zu Nikon D90, Tasche, Manual","95","t","1051","48","\n","2011","80"
"8009","HP Laserjet 4050TN","ModNr.: C4254A, IP: 192.168.1.28, PW: hyp0105","Stromkabel Infrarotschnittstelle","95","f","0105","45","NL7CO10459","2000","\n"
"8318","MiniVGA  Adapter","fuer PB 12,MacBook","\n","95","f","1044","81","\n","2006","40.-"
"8008","A&K","Ecolux 250","Stromkabel, Osram 64655 (EHJ) 24V/250W","95","f","0106","49","\n","2000","\n"
"9338","Sony-Kopfhoerer MDR-V150","\n","Minijack-jack","95","f","1090","69","\n","2011","34.00"
"9339","Sony-Kopfhoerer MDR-V150","\n","Minijack-jack","95","f","1149","69","\n","2011","34.00"
"9344","Sony-Kopfhoerer MDR-V150","\n","Minijack-jack","95","f","1257","69","\n","2011","34.00"
"8751","Sony-Kopfhoerer MDR-V150","\n","Minijack-jack","95","f","1213","69","\n","2007","34.00"
"9347","WD Elements","ext HD 1TB, USB 2.0","USB-Kabel, Netzteil","95","t","1097","52","WCAV5N106024","2011","65"
"9349","WD Elements","ext HD 1TB, USB 2.0","Netzteil, USB-Kabel,","95","t","1181","52","WCAV5M919527","2011","65"
"9350","WD Elements","ext HD 1TB, USB 2.0","Netzteil, USB-Kabel,","95","t","1195","52","WCAV5M853818","2011","65"
"9351","WD Elements","ext HD 1TB, USB 2.0","Netzteil, USB-Kabel,","95","t","1215","52","WCAV5N120804","2011","65"
"8704","Manfrotto 755BK  Videostativ","grosses, stabiles Videostativ,","Platte,Tasche","95","t","1413","61","\n","2008","688"
"9348","WD Elements","ext HD 1TB, USB 2.0 enthaelt Daten fuer Cathrine: BachUp Interviews 2011, R.Salzgeber (05.09.2011)","Netzteil, USB-Kabel,","95","f","1156","52","WCAV5M853771","2011","65"
"9352","My Book 1.5TB","HD WD My Book Studio Edition 3.5, USB2/FW800, 1.5TB","\n","95","t","1243","52","WMAZA3219940","2011","120"
"9353","LACIE","\n","\n","95","t","1171","52","\n","2005","\n"
"9354","Mini-Displayport zu VGA  Adapter ","Micro-Displayport zu VGA Adapter, (MacBook Pro)","\n","95","f","1277","81","\n","2011","40.-"
"9355","Mini-Displayport zu VGA  Adapter ","Micro-Displayport zu VGA Adapter, (MacBook Pro)","\n","95","f","1288","81","\n","2011","40.-"
"9356","Mini-Displayport zu VGA  Adapter ","Micro-Displayport zu VGA Adapter, (MacBook Pro)","\n","95","f","1285","81","\n","2011","40.-"
"9357","Mini-Displayport zu VGA  Adapter ","Micro-Displayport zu VGA Adapter, (MacBook Pro)","\n","95","f","1289","81","\n","2011","40.-"
"8999","Sony HDR-HC9E","HDV1080i, HDV/DV,10xoptisch, 20xDIGITAL-ZOOM/CMOS","Netzteil, 3Akkus (NP-FH60/50),  Fernbedienung, AV-Kabel, Komponetenvideo-Kabel, Firewire-Kabel(4/9), USB-Kabel, 8GB Memory Stick","95","t","0599","65","150483","2010","1300"
"9358","Mini-Displayport zu VGA  Adapter ","Micro-Displayport zu VGA Adapter, (MacBook Pro)","\n","95","f","1304","81","\n","2011","40.-"
"9010","Lautsprecherstativ adam hall","Lautsprecherstativ, Plexwerk","\n","95","f","0321","61","\n","2010","\n"
"9009","Lautsprecherstativ adam hall","Lautsprecherstativ, Plexwerk","\n","95","f","0313","61","\n","2010","\n"
"9220","Belkin Switch2","VGA Switch (2 Rechner->1 Monitor)","Switch-Knopf","95","t","0707","66","\n","2011","50"
"9359","Belkin Switch2","VGA Switch (2 Rechner->1 Monitor)","Switch-Knopf","95","t","1324","66","\n","2011","50"
"9261","iPad2 16GB","Part.No.: PC979FD/A WIFI 16GB White, 16GB","Netzteil/ Kabel, Second Skin, SmartCover,","95","f","0921","77","DLXFJBD6KPH","2011","550"
"9360","Zyxel 24Port Switch","Zyxel 24Port Switch, ModNr.: WS1100-24","\n","95","f","1466","59","\n","2011","65"
"9361","Zyxel 24Port Switch","Zyxel 24Port Switch, ModNr.: WS1100-24","\n","95","f","1467","59","\n","2011","65"
"9362","Zyxel 24Port Switch","Zyxel 24Port Switch, ModNr.: WS1100-24","\n","95","f","1468","59","\n","2011","65"
